Org.nr,ID,Selskap,rho,sum ir k per sum akg,sum renter avvik,inntektsramme 2026,D&V-kostnader eks utredningskostnader,Årslønn-justerte D&V-kostnader eks utredningskostnader,AVS,BFV,AKG (inkl 1 % arbeids-kapital),Nettap MWh i LD,Nettap MWh i RD,Nettaps- kostnad i LD,Nettaps- kostnad i RD,KILE,KPI-justert KILE,Årslønn-justerte kostnader knyttet til utred.ansvar og KDS,Sum kostnader,Kostnadsgrunnlag,K* lok distribusjonsnett,K* reg distribusjonsnett,Inntektsramme før kalibrering,Tillegg i kostnadsnorm for kundevekst,K* etter kalibrering,Inntektsramme etter kalibrering
882783022,542,ETNA NETT AS,0.7,-0.00023,-0.00098,,43455.92482285822,47403.42222785996,13919,354116,357657.16,14763,0,9216.833945550003,0.0,2159,2272.12125748503,0,72811.377430895,101881.38456783858,107757.81144356352,863.2265023837712,106599.14193251467,0,109239.27389394729,107031.90709611468
976944801,566,BKK AS,0.7,-0.00023,-0.00098,,629765.0148985727,686972.3064751943,358579,7509596,7584691.96,287806,95000,158035.91737180145,52165.042251798564,37381,39339.585329341324,8818,1303909.8514281355,1920385.8347656946,1602212.4789826889,434214.687649994,1965099.2374963274,12696,2062233.8484492542,2019679.4443441865
917856222,591,MIDTNETT AS,0.7,-0.00023,-0.00098,,67328.24951197929,73444.28757388348,19071,496606,501572.06,13994,2821,8736.731980900002,1761.2062968500004,4230,4451.631736526947,0,107464.85758816043,148232.12019207838,121661.98042623635,12038.350666387938,136827.0234146655,3742,138309.33422491,141286.17001506052
924330678,599,NETERA AS,0.7,-0.00023,-0.00098,,23325.257441058828,25444.102997675407,6768,92966,93895.66,6481,0,2469.75906485,0.0,1029,1082.9146706586828,0,35764.77673318409,43396.51967474306,37651.22457070821,351.2743916178815,39620.70517605118,0,38164.80431746895,39734.31892465119
979422679,611,LEDE AS,0.7,-0.00023,-0.00098,,568439.0143949529,620075.5068496137,253664,6338861,6402249.609999999,191422,140748,128377.51843069999,94392.9065838,41306,43470.236526946115,3586,1143566.1683910599,1663934.4502820035,1129724.2549231905,561868.0600428642,1617219.9209521792,23988,1726647.0607204833,1707833.2775889393
980824586,613,NORDVEST NETT AS,0.7,-0.00023,-0.00098,,42214.48305600956,46049.208999511575,23602,411240,415352.4,22491,0,8570.799433350001,0.0,4952,5211.461077844312,0,83433.4695107059,117192.88658024436,125630.375753361,,123099.12900142602,888,127236.34204478958,124223.30540542601
982974011,624,GLITRE NETT AS,0.7,-0.00023,-0.00098,,718625.6156915587,783904.9248921775,405090,9461725,9556342.25,292474,220805,190429.27488296363,143765.72290368643,84520,88948.44311377246,5797,1617935.3657925997,2394665.062495933,1698101.5278573374,753526.7731884152,2333903.323448226,2927,2471074.1212207526,2448151.403603307
918999361,625,TENDRANETT AS,0.7,-0.00023,-0.00098,,52228.8692094078,56973.29304829164,18628,477494,482268.94000000006,10971,6944,6118.719789600001,3872.7910144,1087,1143.9535928143714,0,86736.75744510602,125935.08225349578,91918.18749609527,23293.78731026728,115717.95333042252,0,116045.61111693397,119012.45245790252
925549738,659,FØRE AS,0.7,-0.00023,-0.00098,,32244.28496242094,35173.327014434544,9991,305549,308604.49,11337,0,7603.18002345,0.0,3178,3344.5119760479047,0,56112.01901393245,81195.07544370681,78306.8583349036,,79173.32346754457,241,79081.30323904647,79715.43490044457
980489698,675,ELVIA AS,0.7,-0.00023,-0.00098,,2072872.2292472294,2261170.091488317,987356,22388796,22612683.96,852158,568569,532019.1547363001,354968.91279465007,194831,205039.21107784435,13117,4353670.370097112,6191606.129869543,4550415.678132112,1879390.636469472,6109868.020225717,0,6468893.954018156,6385707.606773572
987059729,685,STATKRAFT ENERGI AS,0.7,-0.00023,-0.00098,,2045.065025036381,2230.8369056786387,497,16294,16456.94,0,1154,0.0,643.6061104,0,0.0,0,3371.4430160786387,4709.046220365818,,5067.885102651086,4509.709160685505,0,5096.3320989368,4980.146335365505
988807648,699,TENSIO TN AS,0.7,-0.00023,-0.00098,,336734.98680050287,367323.6922989319,144176,3287239,3320111.39,101093,59284,36320.28484687408,21299.316143175914,43796,46090.7005988024,7216,622425.9938877843,892281.242424533,718092.8251956275,221072.2076479492,910190.3744176405,0,944904.0825320053,929117.2304997635
921025610,743,SVABO INDUSTRINETT AS,0.7,-0.00023,-0.00098,,35366.520991076824,38579.184175793576,6761,107544,108619.44,1711,11450,386.85078641,2588.8027495,26412,27795.862275449104,0,76111.69998715268,84940.17666579883,57203.85562813106,26270.41745347765,82101.88223221575,0,83662.02954218014,84045.47367926575
915729290,753,Aktieselskabet Saudefaldene,0.7,-0.00023,-0.00098,,19039.14791675644,20768.6471116581,3814,33981,34320.81,0,10529,0.0,7061.293328649999,366,385.1766467065869,0,32029.117087014685,34818.67732298392,,17761.245474441268,17935.569698949064,0,17820.5714460127,22920.003209104063
998509289,852,HERØYA NETT AS,0.7,-0.00023,-0.00098,,49833.45350151819,54360.27991659066,5956,151256,152768.56,3542,2502,2375.4488527,1677.9709286999998,0,0.0,0,64369.69969799066,76786.5715690881,38772.30686476738,33724.96948915023,72609.48526837876,0,72761.34772191761,73968.91487606877
916574894,873,SØR-NORGE ALUMINIUM AS,0.7,-0.00023,-0.00098,,11223.03122725653,12242.521361834104,1061,5898,5956.98,6960,0,4667.736876,0.0,0,0.0,0,17971.258237834103,18455.435462511025,15783.061913914524,,16584.773978493475,0,15793.358979343095,16591.981924293475
921688679,903,NETTSELSKAPET AS,0.7,-0.00023,-0.00098,,48477.3463329599,52880.985183836936,26360,530927,536236.27,32315,0,12314.498407750001,0.0,10810,11376.392215568863,0,102931.8758071558,146516.60984683785,160036.89811772888,,155980.81163646159,9976,170939.8208130146,163612.85752316157
