id;selskap;nettnivaa;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
566;BKK AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
591;MIDTNETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
591;MIDTNETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
599;NETERA AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
599;NETERA AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
611;LEDE AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
611;LEDE AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
613;NORDVEST NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
613;NORDVEST NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
624;GLITRE NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
624;GLITRE NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
625;TENDRANETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
625;TENDRANETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
659;FØRE AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
659;FØRE AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
675;ELVIA AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
675;ELVIA AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
685;STATKRAFT ENERGI AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
685;STATKRAFT ENERGI AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
686;Yara Norge AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
686;Yara Norge AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
699;TENSIO TN AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
699;TENSIO TN AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
743;SVABO INDUSTRINETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
743;SVABO INDUSTRINETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
